text,label
oh my gosh,1
"trouble sleeping, confused mind, restless heart. All out of tune",1
"All wrong, back off dear, forward doubt. Stay in a restless and restless place",1
I've shifted my focus to something else but I'm still worried,1
"I'm restless and restless, it's been a month now, boy. What do you mean?",1
"every break, you must be nervous, like something is wrong, but what the heck",1
"I feel scared, anxious, what can I do? And may my family or us be protected :)",1
Have you ever felt nervous but didn't know why?,1
"I haven't slept well for 2 days, it's like I'm restless. why huh :([].",1
"I'm really worried, I want to cry.",1
"always restless every night, even though I don't know why, what's wrong. strange.",1
"I'm confused, I'm not feeling good lately. Every time I want to sleep, I always feel restless",1
"sometimes what is needed when there is a problem is to laugh until you forget that there is a problem, when you remember it, you feel restless like that well, it turns out that I still have a sad burden blah blah blah",1
Because this worry is you.,1
Sometimes it's your own thoughts that make you anxious and afraid to close your eyes until you don't sleep,1
"Every time I wake up, I'm definitely nervous and excited, until when are you going to try ™‚",1
"I can only hope, even though I'm worried if it starts like this....",1
"restive = restless, restless",1
"""No regrets or grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity.""",1
"If the guy is sick, the girl actually feels sick indirectly. He must be feeling restless and restless. :')",1
"I've been the most anxious person before I became the most sincere person, I've also been the most worried person before it all ended",1
Successfully online at 9am. Even sleeping in a state of restlessness what is wrong with me,1
Can't sleep. Just restless by nature,1
Already worried about picking up the phone,1
a little restless. a little restless. always feel guilty. sorry if i can't be the best as i've been :',1
I've been so restless since this morning,1
it makes you feel restless,1
Sleepy but restless when you sleep,1
Why is this cave... I'm already in a bad mood and then my heart seems to be beating really fast... I'm really nervous. Is there something wrong???,1
"He is very busy, He is restless, geez, what's going on?",1
"I'm broken and fragile, I'm hurt, I can't stand the anxiety anymore, I can't stand the love. Until now I was ignored, not seen, even left far away. I'm not like what he wants, so I'll just step back.",1
"# Suggest a song that makes you calm, don't know why suddenly this feeling of anger / restlessness appears. Thanks!",1
Terooosss nervous huuuu,1
why today's heart doesn't feel good..jealous?.anxious?.disappointed?.feeling failed?,1
It's a habit from elementary school if I think about something I'll get worried I can't sleep,1
"Since yesterday yesterday, I have not been in the mood, very sensitive, feeling restless, always surprised and many surprises every day that almost make my brain explode, everyone is the target of ups and downs in mood. But today I feel very grateful that this lecture drama is over.",1
"Tonight he continues to chatter about money, I'm so confused what to do. Once he said don't worry about money, but he kept blabbering about money.",1
Feeling so restless lately.,1
Oh god I'm restless,1
but my heart is still restless even though my mouth is talking,1
"waiting for uncertainty, please be anxious",1
"been the most anxious person, before becoming the most sincere person",1
"Did you ever read it when you read it to RL, I mean the atmosphere, the taste. It's because I'm like this. when I read au, the topic was about mental illness ™ my days became restless....and now I'm scared.",1
"Hi, I want to tell you... Lately I've been feeling restless, have trouble sleeping, I searched on google it says it's a mild symptom of depression, I used to tell my mom a psychologist friend ""don't think too much, it's not important you get depressed easily"" then I frequent irregular breathing.",1
"I've been feeling restless for the past few days, now I'm nauseous, like someone...",1
"Oh no I'm restless. The time will come. I walk with Jesus. Then my heart is calm.. Every time I sing a song I don't know, tomorrow in this section I always want to cry . Because I sing it but I don't do it . Sorry God I worry too much ️",1
Controlling anxiety is not as easy as it sounds.,1
"Since the pandemic, I haven't opened my laptop for a day, I feel restless, I have a very heavy life load",1
People who are restless and afraid can be seen from the frequent touching of the face and ringing the fingers.,1
"I don't know if my mind breaks down, but I don't want to think about it :( , why do I feel restless?",1
Sensitive feelings make the heart restless.,1
"Let's not be nervous, how about ™‚",1
"after being confessed, I'm really nervous",1
Restless.. and.. restless..,1
"This is the first time I've had an anxiety disorder in my sleep, and it wasn't really good. Even though I'm not thinking about anything, but I'm restless",1
It's been a week I feel restless and my head feels full I want to rest while I sleep,1
why am i nervous,1
"Anxious, all afraid, afraid of war, afraid of economic crisis, afraid of air pollution, disease outbreaks, clean water, etc. When are you happy?",1
oh my god why are you so nervous,1
feelings of restlessness have started to appear ±,1
Very restless bgsd,1
"The days are full of restlessness, with income that doesn't know the direction..Hopefully we can always get what we need and be given the advantage for a desire...5 - 5 - 21",1
1 hour wake up 1 hour wake up ngde the restless is here kle cak after polishing dwg,1
"Lately everything has been all of a sudden, suddenly happy, suddenly sad, suddenly anxious, suddenly relaxed, suddenly excited, suddenly lethargic, etc. I really don't like everything that is impromptu, yes, but what can I do? Ha ha ha",1
"I'm so sorry, but can you give me words of encouragement or not? I'm really worried that I can't make my kids happy.",1
"I don't like worrying, I don't like wehhh!",1
"Behind your online, there is a heart that is anxiously waiting to hear from you",1
nervous restless peramoy,1
I'm nervous I don't know why. I don't feel calm,1
"Sometimes I can't even rest. Always worried, worried about this, even though I'm tired",1
It feels uneasy.,1
"I'm so restless, I don't know why",1
"Day by day, that hope grows, the closer I feel, the more I expect from you, and sometimes I get anxious because of it. To the point that I became worried, worried that it would disturb my hopes. Especially disturbing km.",1
"Urmi has a fever, I'm already sad and restless.. What's more, this little girl has a fever, ha ha ha",1
"How many days have you been feeling restless at night and in the afternoon your mind is empty, why?",1
"From now on, it's not really good, being restless is tired by nature",1
"I haven't slept yet, and now my head hurts so bad. I'm sleepy, but I can't sleep, I've tried to brake but I'm restless ",1
Too anxious. Too worried. Too scared,1
Restless and agitated.,1
There will always be calm in the midst of restlessness,1
"dismayed = disappointed, anxious",1
This is why my heart is beating so fast. Very restless. But I don't know what I'm worried about. It's a great feeling.....,1
"More restless. Hopefully those who are there are okay.... Oh Allah protect him..... Amen, robbal alamin",1
"If my friends have replied to my tweet that has an opinion, I'm worried",1
"I'm hungry, weak, lethargic, restless.",1
Sudden restlessness. Why are you..,1
"Sleeps 3 hours, rest restless. Try a variety of positions and ways never fall asleep. I really need to be able to control this mind.",1
"STOP I'M GAMAU ANXIETY, GUNDAH GULANA AGAIN",1
Anxious,1
It's so restless work,1
"Is there anyone who, when sick, can't sleep well, but sleeps restlessly?",1
Please worry until you want to cry,1
"Exam on Saturday. Saturday's Starting Presentation..On Going: CT.Place CSE Dept. .Assignments….AND UNTIL NOW CLEAR CATIA TRAINING 2 PRODUCTS HAHAHAHA.. awesome, still in sleep mode, but I'm nervous, haha",1
"I'm nervous, when you come change anxiety and become anxious, I'm more worried. Tomorrow I will try to live without news from you again, quickly go away from my insincerity.",1
"How worried am I? *asked my other self. Until it was sent, sustenance had a good friend. Moved",1
Restless due to imagining too long and high until lazy to sleep.,1
"It's like something's up, something's weird, but I don't know what, it feels so restless.",1
"""No regrets or grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity.""",1
"For God's sake, I'm so tired of worrying.",1
"For 3 years comfortable with this condition, anxiously wondering if a few days later everything will change? I don't know, another crisis of confidence",1
Feeling a little anxious today.,1
"Not regretting or holding grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity",1
"Please be anxious , it must continue like this.",1
"Hmm, I don't know what to do, but I'm nervous",1
Very restless can't sleep ™,1
"I'm sad because I can't produce anything but I like to complain every day because I'm tired of taking care of children I see the body is getting bigger, yes I am getting more and more restless",1
"Every time after sunset, why must this heart be restless as if it can't accept the situation. But with this situation, you can't do anything, if you do it, it can only make things worse",1
Why are you restless and restless yo ”,1
I'm so nervous about what to do,1
"tbtb restless, tf is wrong with meh?",1
"I swear I can't sleep...sleep anyway, but I don't sleep...so restless..",1
"Why does it seem like tonight I'm restless, sad like I want to cry but I don't know what to be sad about",1
why so nervous? what is certain is not because thr is without tukin. ..but it's all because of you,1
The script is harmless. But continuing anxiety because the thesis is not finished can be dangerous for the heart.,1
can't you not disturb people's lives? until I'm anxious and can't sleep,1
"how do you keep it calm, original tbtb is excited and then you're sweaty or nervous """,1
And again suddenly feeling nervous and anxious without knowing why :(.,1
"I'm not feeling very good this morning, I'm really worried ”",1
"If you are restless & restless, just complain to your RABB and read the Qur'an so that the heart becomes cool and reduce cynicism towards others #bowochallenge #iwartabowochallenge",1
controlling excessive anxiety,1
"When you hear the song, your heart becomes calm and when you hear the Koran, your heart becomes tense and restless.. it's a sign that your heart is hit by CORONA BLOOD.. you need to think about it.. because life is not a game.",1
restless restlessness haunts self,1
"The peak period of my stress has passed and I am only noisy now. After going out with my friends yesterday, that makes me feel kinda better. At first I was afraid and anxious to go out, yes, because anxiety is still active. But well I hope I'll gain some weight after this storm, bismillaah",1
I'm most worried when my mom is sick.,1
don't worry yet :),1
"""Yesterday, I was worried half to death, now my wife is aware of being stiff again... how about that?""",1
The last time I felt this nervous was on Wednesday. When he found out his mother died. I hope this isn't a sign anymore,1
I don't know how many years it took me to jump in until I could feel the descent without worrying ²,1
"I want to ask, have you ever been worried about the things you like? Even because you really like it, you feel like it's a part of your life. But every time you do or remember it you get worried. What do you think you should do? :(",1
"However, every time I picket, I'm always nervous: ""Even though I'm just a picket, I'm really scared, I'm excited:""",1
BY GOD I'M STILL WORRY.,1
"time goes on..days go on..at the same time my heart is getting restless and hurt...oh Allah I know you are testing me with this patience, and you are testing me with everything that happens..forgive me who is starting to weaken and lose enthusiasm for keep fighting and survive...",1
